file,genre,ourKeyCamelot,ourConf,essentiaEdma,essentiaEdmaStrength,essentiaBgate,essentiaBgateStrength,relationship,agree
"//nas/music/GENRES\Hard_Techno\2NDRA, Dez Yago - Hyperactivity (Extended Mix).mp3",Hard_Techno,1B,0.0007,1A,0.7872,1A,0.7993,relative,no
"//nas/music/GENRES\Hard_Techno\3LEEZA - Blue Gemini (Extended Mix).mp3",Hard_Techno,9A,0.0206,7B,0.9369,4A,0.8597,semitone,no
"//nas/music/GENRES\Hard_Techno\51CK - Don't Connect (Extended Mix).mp3",Hard_Techno,4A,0.0059,8B,0.6142,5A,0.5468,other,no
"//nas/music/GENRES\Hard_Techno\8288 Ft. Alex Sauer - Techno Kind (Tommy Libera Remix).mp3",Hard_Techno,5A,0.0276,5A,0.7956,5A,0.7261,exact,yes
"//nas/music/GENRES\Hard_Techno\999999999 - Power To The Raver (Original Mix).aiff",Hard_Techno,9A,0.0071,4B,0.7266,4B,0.6801,other,no
"//nas/music/GENRES\Hard_Techno\A.P. - Detached (D.A.V.E. The Drummer Remix).mp3",Hard_Techno,7A,0.0020,6A,0.6126,6A,0.6820,fifth,no
"//nas/music/GENRES\Techno\2HOT2PLAY, Glen West (AU) - 20mm (Extended Version).mp3",Techno,9A,0.0222,7B,0.8984,7B,0.8223,semitone,no
"//nas/music/GENRES\Techno\89ers, KYANU - Last Night a DJ Saved My Life (Extended Mix).mp3",Techno,11A,0.0338,11A,0.8951,11A,0.8945,exact,yes
"//nas/music/GENRES\Techno\A.D.H.S. - Komani (Extended Mix).mp3",Techno,2A,0.0256,12B,0.7977,12B,0.6981,semitone,no
"//nas/music/GENRES\Techno\A.Paul - Magnolia (Extended Mix).mp3",Techno,7A,0.0046,6A,0.3802,4B,0.4026,fifth,no
"//nas/music/GENRES\Techno\AIO, Aender - Leviathan (Extended Mix).mp3",Techno,,,1A,0.8738,1A,0.8551,n/a,no
"//nas/music/GENRES\Techno\AIO, HNGT - Growling (Lampe Remix).mp3",Techno,,,7A,0.9293,7A,0.8905,n/a,no
"//nas/music/GENRES\Hardstyle\2 Brothers On The 4th Floor, Maddix, The Rocketman - Never Alone (Extended Mix).mp3",Hardstyle,3A,0.0317,3A,0.9099,3A,0.9074,exact,yes
"//nas/music/GENRES\Hardstyle\240 KM_H, Contec - Hype Up The Beat (Original Mix).mp3",Hardstyle,8A,0.0329,8A,0.9057,8A,0.8528,exact,yes
"//nas/music/GENRES\Hardstyle\240 KM_H, Dave75 - Ven Pa Ca (Extended Mix).mp3",Hardstyle,3A,0.0251,1B,0.3182,1B,0.3182,semitone,no
"//nas/music/GENRES\Hardstyle\240 KM_H, GEORGE aka DR.RADSPORT - Coco Bello (Extended Mix).mp3",Hardstyle,4A,0.0207,2B,0.7074,2B,0.7325,semitone,no
"//nas/music/GENRES\Hardstyle\240 KM_H, Kichta - On Fire (Original Mix).mp3",Hardstyle,4A,0.0299,7B,0.8785,4A,0.8228,parallel,no
"//nas/music/GENRES\Hardstyle\3LEEZA - Glow (Original Mix).mp3",Hardstyle,,,4B,0.9409,1A,0.8739,n/a,no
"//nas/music/GENRES\Bass_House\3Beat - Dirty (Extended Mix).mp3",Bass_House,1A,0.0221,4B,0.9076,4B,0.8455,parallel,no
"//nas/music/GENRES\Bass_House\A7S, Header - Dreaming (Extended Club Mix).mp3",Bass_House,11A,0.0417,11A,0.9616,11A,0.9084,exact,yes
"//nas/music/GENRES\Bass_House\AC Slater, BIJOU, Jack Beats, Kate Wild - Healing (BIJOU Remix).mp3",Bass_House,9A,0.0421,9A,0.9487,9A,0.9319,exact,yes
"//nas/music/GENRES\Bass_House\AC Slater, Bessey - Get Wild (Extended Mix).mp3",Bass_House,6A,0.0044,6A,0.4696,6A,0.5904,exact,yes
"//nas/music/GENRES\Bass_House\ALOTT - Far From Home (Original Mix).mp3",Bass_House,,,7A,0.8545,7A,0.8625,n/a,no
"//nas/music/GENRES\Bass_House\ALRT - Attitude (Extended Mix).mp3",Bass_House,,,4A,0.8426,4A,0.7805,n/a,no
"//nas/music/GENRES\Tech_House\ATLAC - Papi (Extended Mix).mp3",Tech_House,,,10A,0.6564,10B,0.6537,n/a,no
"//nas/music/GENRES\Tech_House\Acrobatik, Luccas Deo - Rebirth (Extended Mix).mp3",Tech_House,9A,0.0217,7B,0.9470,7B,0.8834,semitone,no
"//nas/music/GENRES\Tech_House\Adam Beyer - Close Your Eyes (Extended Mix).mp3",Tech_House,8A,0.0274,8A,0.9478,8A,0.8966,exact,yes
"//nas/music/GENRES\Tech_House\Adam Beyer - Taking Back Control (Extended Mix).mp3",Tech_House,11A,0.0230,6A,0.9185,6A,0.9060,semitone,no
"//nas/music/GENRES\Tech_House\Adam Beyer - We Don't Say Please (Extended Mix).mp3",Tech_House,11A,0.0224,9B,0.9327,6A,0.8910,semitone,no
"//nas/music/GENRES\Deep_House\2049 - Yes (Extended Mix).mp3",Deep_House,10A,0.0249,8B,0.8530,8B,0.7867,semitone,no
"//nas/music/GENRES\Deep_House\A-Trak, Kapote, Sam Ruffillo - La La Tune (A-Trak Remix).mp3",Deep_House,5A,0.0375,5A,0.9447,5A,0.9413,exact,yes
"//nas/music/GENRES\Deep_House\AJ Christou - Desire (Extended Mix).mp3",Deep_House,8A,0.0013,8B,0.6878,8B,0.7515,relative,no
"//nas/music/GENRES\Deep_House\AJ Christou - Patience (Extended Mix).mp3",Deep_House,5A,0.0388,5A,0.9569,5A,0.9071,exact,yes
"//nas/music/GENRES\Deep_House\APHACA - Smelter Under Manen (Heliograph & Palau Remix).mp3",Deep_House,,,12A,0.9185,12A,0.9036,n/a,no
"//nas/music/GENRES\House\A-Ha - Take On Me (Fonzerelli Cool Club Remix).mp3",House,11B,0.0222,11B,0.8753,11B,0.9079,exact,yes
